id,style,category,row_index,output_col,input_image_path,output_image_path,cover,confidence,inliers,input_bytes,orig_export_bytes,output_export_bytes,budget_bytes,ref_jpeg_bytes,output_format,upscale_interp,pixel_style_hit,reason
二次元平涂-4-横屏-1,二次元平涂转像素,crop,0,output_image_path,processed/二次元平涂-4-横屏-1_input_crop.png,processed/二次元平涂-4-横屏-1_output_crop.jpg,0.937,0.9136,740,24695282,20640751,2546859,2586566,3233208,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 5562×3144（约占原图 94%）；同比例未压分辨率
二次元平涂-4-横屏-10,二次元平涂转像素,crop,1,output_image_path,processed/二次元平涂-4-横屏-10_input_crop.jpg,processed/二次元平涂-4-横屏-10_output_crop.jpg,0.9281,0.5928,444,4106658,28040165,3579470,3285326,10606562,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 13139×7156（约占原图 93%）；同比例未压分辨率
二次元平涂-4-横屏-11,二次元平涂转像素,crop,2,output_image_path,processed/二次元平涂-4-横屏-11_input_crop.jpg,processed/二次元平涂-4-横屏-11_output_crop.jpg,0.9337,0.7032,289,2933803,19682928,2311506,2347042,7123085,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 7950×3747（约占原图 93%）；同比例未压分辨率
二次元平涂-4-横屏-12,二次元平涂转像素,crop,3,output_image_path,processed/二次元平涂-4-横屏-12_input_crop.jpg,processed/二次元平涂-4-横屏-12_output_crop.jpg,0.9299,0.5357,360,1789898,5890062,1431203,1431918,2450606,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3946×2224（约占原图 93%）；同比例未压分辨率
二次元平涂-4-横屏-13,二次元平涂转像素,crop,4,output_image_path,processed/二次元平涂-4-横屏-13_input_crop.jpg,processed/二次元平涂-4-横屏-13_output_crop.jpg,0.8302,0.5275,317,1395653,4971786,1102629,1116522,1772426,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3720×2106（约占原图 83%）；同比例未压分辨率
二次元平涂-4-横屏-14,二次元平涂转像素,crop,5,output_image_path,processed/二次元平涂-4-横屏-14_input_crop.jpg,processed/二次元平涂-4-横屏-14_output_crop.jpg,0.943,0.8936,957,1537901,5682681,1223463,1230320,2161863,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3966×2244（约占原图 94%）；同比例未压分辨率
二次元平涂-4-横屏-15,二次元平涂转像素,crop,6,output_image_path,processed/二次元平涂-4-横屏-15_input_crop.jpg,processed/二次元平涂-4-横屏-15_output_crop.jpg,0.9341,0.8095,510,442411,1627735,349032,353928,658902,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 1976×1154（约占原图 93%）；同比例未压分辨率
二次元平涂-4-横屏-16,二次元平涂转像素,crop,7,output_image_path,processed/二次元平涂-4-横屏-16_input_crop.jpg,processed/二次元平涂-4-横屏-16_output_crop.jpg,0.9485,0.8374,690,986415,3178114,777543,789132,1365566,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3104×1761（约占原图 95%）；同比例未压分辨率
二次元平涂-4-横屏-17,二次元平涂转像素,crop,8,output_image_path,processed/二次元平涂-4-横屏-17_input_crop.jpg,processed/二次元平涂-4-横屏-17_output_crop.jpg,0.8522,0.6716,229,453851,1328531,355938,363080,574359,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 1760×1004（约占原图 85%）；同比例未压分辨率
二次元平涂-4-横屏-18,二次元平涂转像素,crop,9,output_image_path,processed/二次元平涂-4-横屏-18_input_crop.jpg,processed/二次元平涂-4-横屏-18_output_crop.jpg,0.9341,0.7298,424,746417,2390853,592106,597133,1024896,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 2426×1452（约占原图 93%）；同比例未压分辨率
二次元平涂-4-横屏-19,二次元平涂转像素,crop,10,output_image_path,processed/二次元平涂-4-横屏-19_input_crop.jpg,processed/二次元平涂-4-横屏-19_output_crop.jpg,0.9422,0.7612,714,1559805,5618419,1221857,1247844,2168865,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3966×2529（约占原图 94%）；同比例未压分辨率
二次元平涂-4-横屏-2,二次元平涂转像素,crop,11,output_image_path,processed/二次元平涂-4-横屏-2_input_crop.png,processed/二次元平涂-4-横屏-2_output_crop.jpg,0.932,0.7413,510,27581556,26042529,3320999,3396717,4245897,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 8336×4728（约占原图 93%）；同比例未压分辨率
二次元平涂-4-横屏-20,二次元平涂转像素,crop,12,output_image_path,processed/二次元平涂-4-横屏-20_input_crop.jpg,processed/二次元平涂-4-横屏-20_output_crop.jpg,0.927,0.6023,474,677102,2055931,538906,541681,867064,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 2404×1338（约占原图 93%）；同比例未压分辨率
二次元平涂-4-横屏-21,二次元平涂转像素,crop,13,output_image_path,processed/二次元平涂-4-横屏-21_input_crop.jpg,processed/二次元平涂-4-横屏-21_output_crop.jpg,0.9498,0.7541,500,1408076,4842583,1121896,1126460,1955437,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3283×1700（约占原图 95%）；同比例未压分辨率
二次元平涂-4-横屏-22,二次元平涂转像素,crop,14,output_image_path,processed/二次元平涂-4-横屏-22_input_crop.jpg,processed/二次元平涂-4-横屏-22_output_crop.jpg,0.943,0.9317,1009,1471845,5147847,1162983,1177476,2033986,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3966×2244（约占原图 94%）；同比例未压分辨率
二次元平涂-4-横屏-23,二次元平涂转像素,crop,15,output_image_path,processed/二次元平涂-4-横屏-23_input_crop.jpg,processed/二次元平涂-4-横屏-23_output_crop.jpg,0.9656,0.9268,671,630441,1990289,502906,504352,868329,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 1952×1113（约占原图 97%）；同比例未压分辨率
二次元平涂-4-横屏-24,二次元平涂转像素,crop,16,output_image_path,processed/二次元平涂-4-横屏-24_input_crop.jpg,processed/二次元平涂-4-横屏-24_output_crop.jpg,0.8385,0.5607,379,905220,2672601,723036,724176,1119980,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 2282×1624（约占原图 84%）；同比例未压分辨率
二次元平涂-4-横屏-25,二次元平涂转像素,crop,17,output_image_path,processed/二次元平涂-4-横屏-25_input_crop.jpg,processed/二次元平涂-4-横屏-25_output_crop.jpg,0.9224,0.3641,201,873264,2831880,688148,698611,1186719,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 2688×1472（约占原图 92%）；同比例未压分辨率
二次元平涂-4-横屏-26,二次元平涂转像素,crop,18,output_image_path,processed/二次元平涂-4-横屏-26_input_crop.jpg,processed/二次元平涂-4-横屏-26_output_crop.jpg,0.8302,0.5952,275,1865930,5940982,1445277,1492744,2405835,jpg,nearest,style=二次元平涂转像素,AI 无法整幅无黑边覆盖，已裁公共区域 3720×2106（约占原图 83%）；同比例未压分辨率
